start_station,start_lat,start_lng,end_station,end_lat,end_lng,Service:Company,Service:Type,route_count
Rotterdam Centraal,51.92499923706,4.468888759613,Gouda,52.017501831055,4.7044444084167,NS,Snelbus ipv trein,8
Nijverdal,52.366111,6.462,Zwolle,52.504722595215,6.0919442176819,Blauwnet,Snelbus ipv trein,30
Utrecht Centraal,52.088890075684,5.1102776527405,Den Haag Centraal,52.080276489258,4.3249998092651,NS,Snelbus ipv trein,1
Enkhuizen,52.699165344238,5.286388874054,Boxtel,51.58433,5.31912,NS,Intercity,93
Den Haag Laan v NOI,52.078609466553,4.3427777290344,Den Haag Centraal,52.080276489258,4.3249998092651,NS,Extra trein,1
Dieren,52.044998168945,6.1030554771423,Arnhem Centraal,51.985000610352,5.8991665840149,NS,Stopbus ipv trein,122
Culemborg,51.946666717529,5.2269444465637,Utrecht Centraal,52.088890075684,5.1102776527405,NS,Intercity,2
Lage Zwaluwe,51.69111251831,4.6630554199219,Roosendaal,51.540279388428,4.4583334922791,NS,Sprinter,51
Groningen Europapark,53.20480027,6.5854178,Groningen,53.210556030273,6.5647220611572,NS,Intercity,2
Utrecht Centraal,52.088890075684,5.1102776527405,Geldermalsen,51.88301,5.27127,NS,Extra trein,1
Roodeschool,53.421262,6.7587,Uithuizermeeden,53.4145845,6.7202975,Arriva,Stopbus ipv trein,1
Beilen,52.854721069336,6.5211110115051,Zwolle,52.504722595215,6.0919442176819,NS,Intercity,3
Apeldoorn,52.209167480469,5.9702777862549,Amersfoort Centraal,52.153888702393,5.3705554008484,NS,Extra trein,1
Roermond,51.193054199219,5.9941668510437,Hoorn,52.644721984863,5.0555553436279,NS,Intercity,1
Utrecht Maliebaan,52.087776184082,5.1313886642456,Utrecht Centraal,52.088890075684,5.1102776527405,NS,Sprinter,142
Schiphol Airport,52.30944442749,4.7619442939758,Den Haag Centraal,52.080276489258,4.3249998092651,NS,Intercity,413
Leiden Centraal,52.166110992432,4.4816665649414,Lelystad Centrum,52.507778167725,5.4727778434753,NS,Sprinter,295
Zwolle,52.504722595215,6.0919442176819,Schiphol Airport,52.30944442749,4.7619442939758,NS,Intercity,30
Rijswijk,52.039722442627,4.3191666603088,Den Haag Centraal,52.080276489258,4.3249998092651,NS,Intercity,1
Tilburg,51.560554504395,5.0836110115051,Roosendaal,51.540279388428,4.4583334922791,NS,Stopbus ipv trein,3
Den Helder,52.955276489258,4.7611112594605,Maarn,52.064167022705,5.3699998855591,NS,Intercity,1
Delft Campus,51.990833282471,4.3647222518921,Den Haag Centraal,52.080276489258,4.3249998092651,NS,Sprinter,1501
Amsterdam Centraal,52.378887176514,4.9002776145935,Heerhugowaard,52.669723510742,4.8227777481079,NS,Sprinter,327
Almelo,52.358055114746,6.6538887023926,Deventer,52.257499694824,6.1605553627014,NS,Sprinter,1133
Putten,52.264999389648,5.5752778053284,Amsterdam Centraal,52.378887176514,4.9002776145935,NS,Sprinter,9
Amsterdam Centraal,52.378887176514,4.9002776145935,Utrecht Centraal,52.088890075684,5.1102776527405,NS,Sprinter,811
Oss,51.765556335449,5.5322222709656,Venlo,51.363609313965,6.1727776527405,NS,Sprinter,2
Zaandam,52.438888549805,4.8136110305786,Schiphol Airport,52.30944442749,4.7619442939758,NS,Stopbus ipv trein,1
Amsterdam Centraal,52.378887176514,4.9002776145935,Amsterdam Amstel,52.346668243408,4.9177780151367,NS,Metro ipv trein,779
Amsterdam Holendrecht,52.29844,4.95972,Utrecht Centraal,52.088890075684,5.1102776527405,NS,Stopbus ipv trein,42
Enschede,52.222499847412,6.8899998664856,Den Dolder,52.140277862549,5.2427778244019,NS,Intercity,2
Groningen,53.210556030273,6.5647220611572,Hoogeveen,52.733890533447,6.4736108779907,NS,Intercity,37
Assen,52.991664886475,6.5708332061768,Groningen,53.210556030273,6.5647220611572,NS,Extra trein,6
't Harde,52.4091682,5.893611,Amersfoort Centraal,52.153888702393,5.3705554008484,NS,Extra trein,1
Den Haag HS,52.069721221924,4.3225002288818,Leiden Centraal,52.166110992432,4.4816665649414,NS,Intercity,16
Breda,51.595554351807,4.7800002098083,Zwolle,52.504722595215,6.0919442176819,NS,Intercity,177
Lelystad Centrum,52.507778167725,5.4727778434753,Leeuwarden,53.195835113525,5.7922220230103,NS,Intercity,1
Hilversum,52.225833892822,5.1819443702698,Almere Centrum,52.37503,5.21764,NS,Stopbus ipv trein,2
Geldermalsen,51.88301,5.27127,Schiphol Airport,52.30944442749,4.7619442939758,NS,Intercity,4
Hoorn,52.644721984863,5.0555553436279,'s-Hertogenbosch,51.69048,5.29362,NS,Intercity,19
Boxtel,51.58433,5.31912,Vught,51.655555725098,5.2919445037842,NS,Extra trein,1
Amsterdam Centraal,52.378887176514,4.9002776145935,Lelystad Centrum,52.507778167725,5.4727778434753,NS,Intercity,139
Leiden Centraal,52.166110992432,4.4816665649414,Amersfoort Vathorst,52.192779541016,5.4338889122009,NS,Sprinter,45
Den Helder,52.955276489258,4.7611112594605,Alkmaar,52.63777923584,4.7397222518921,NS,Snelbus ipv trein,2
Amsterdam Centraal,52.378887176514,4.9002776145935,Amsterdam Lelylaan,52.357776641846,4.8338890075684,NS,Intercity direct,1
Wierden,52.361389160156,6.5916666984558,Zwolle,52.504722595215,6.0919442176819,Blauwnet,Intercity,14
Den Haag Centraal,52.080276489258,4.3249998092651,Eindhoven Centraal,51.443332672119,5.4813890457153,NS,Intercity,8454
Ermelo,52.301666259766,5.6147222518921,Zwolle,52.504722595215,6.0919442176819,NS,Extra trein,1
Woerden,52.084999084473,4.8936109542847,'s-Hertogenbosch,51.69048,5.29362,NS,Sprinter,313
Weert,51.248611450195,5.7036108970642,Maastricht,50.850276947021,5.7055554389954,NS,Intercity,69
Assen,52.991664886475,6.5708332061768,Haren,53.176109313965,6.6172223091125,NS,Intercity,28
Susteren,51.061389923096,5.8630557060242,Sittard,51.001667022705,5.8586111068726,NS,Intercity,1
Heerenveen,52.961387634277,5.9141664505005,Leeuwarden,53.195835113525,5.7922220230103,NS,Intercity,1
Bodegraven,52.081390380859,4.7461109161377,Leiden Centraal,52.166110992432,4.4816665649414,NS,Stopbus ipv trein,1
Bergen op Zoom,51.49388885498,4.2961111068726,Breda,51.595554351807,4.7800002098083,NS,Intercity,35
Hilversum,52.225833892822,5.1819443702698,Enschede,52.222499847412,6.8899998664856,NS,Extra trein,1
Hoogkarspel,52.69055557251,5.1838889122009,Purmerend Overwhere,52.511390686035,4.9683332443237,NS,Stopbus ipv trein,53
Utrecht Centraal,52.088890075684,5.1102776527405,Den Haag HS,52.069721221924,4.3225002288818,NS,Intercity,164
Amsterdam Centraal,52.378887176514,4.9002776145935,Amsterdam Bijlmer ArenA,52.3122215271,4.9469442367554,NS,Sprinter,4
Roosendaal,51.540279388428,4.4583334922791,Breda,51.595554351807,4.7800002098083,NS,Sprinter,259
Amsterdam Bijlmer ArenA,52.3122215271,4.9469442367554,Utrecht Centraal,52.088890075684,5.1102776527405,NS,Snelbus ipv trein,1
Amsterdam Bijlmer ArenA,52.3122215271,4.9469442367554,Amsterdam Centraal,52.378887176514,4.9002776145935,NS,Intercity,11
Amersfoort Schothorst,52.174822137451,5.4038887023926,Duivendrecht,52.323333740234,4.9363889694214,NS,Intercity,1
Vlissingen,51.445835113525,3.5952777862549,Goes,51.498054504395,3.8905556201935,NS,Intercity,12
Zwolle,52.504722595215,6.0919442176819,Dronten,52.5344,5.72089,NS,Snelbus ipv trein,2
